Step,Description,RewardChange
0,Dont have an Army,2
0,Imbalanced forces penalty,-5
0,Perfect amount of miners,10
0,Gold < 1000 and active gatherers,2
1,Dont have an Army,2
1,Imbalanced forces penalty,-5
2,Dont have an Army,2
2,Imbalanced forces penalty,-5
3,Dont have an Army,2
3,Imbalanced forces penalty,-5
4,Dont have an Army,2
4,Imbalanced forces penalty,-5
5,Dont have an Army,2
5,Imbalanced forces penalty,-5
6,Dont have an Army,2
6,Imbalanced forces penalty,-5
7,Dont have an Army,2
7,Imbalanced forces penalty,-5
8,Have an Army,2
8,Imbalanced forces penalty,-5
9,Have an Army,2
9,Imbalanced forces penalty,-5
10,Have an Army,2
10,Imbalanced forces penalty,-5
11,Have an Army,2
11,Imbalanced forces penalty,-5
12,Have an Army,2
12,Imbalanced forces penalty,-5
13,Have an Army,2
13,Imbalanced forces penalty,-5
14,Have an Army,2
14,Imbalanced forces penalty,-5
15,Have an Army,2
15,Imbalanced forces penalty,-5
16,Have an Army,2
16,Imbalanced forces penalty,-5
17,Have an Army,2
17,Imbalanced forces penalty,-5
18,Have an Army,2
18,Imbalanced forces penalty,-5
19,Have an Army,2
19,Imbalanced forces penalty,-5
20,Have an Army,2
20,Imbalanced forces penalty,-5
20,Perfect amount of miners,10
21,Have an Army,2
21,Imbalanced forces penalty,-5
22,Have an Army,2
22,Imbalanced forces penalty,-5
23,Have an Army,2
23,Imbalanced forces penalty,-5
24,Have an Army,2
24,Imbalanced forces penalty,-5
25,Have an Army,2
25,Imbalanced forces penalty,-5
26,Have an Army,2
26,Imbalanced forces penalty,-5
27,Have an Army,2
27,Imbalanced forces penalty,-5
28,Have an Army,2
28,Imbalanced forces penalty,-5
29,Have an Army,2
29,Imbalanced forces penalty,-5
30,Have an Army,2
30,Imbalanced forces penalty,-5
30,Gold < 1000 and active gatherers,2
31,Have an Army,2
31,Imbalanced forces penalty,-5
32,Have an Army,2
32,Imbalanced forces penalty,-5
33,Have an Army,2
33,Imbalanced forces penalty,-5
34,Have an Army,2
34,Imbalanced forces penalty,-5
35,Enemy unit loss,2
35,Have an Army,2
35,Imbalanced forces penalty,-5
36,Have an Army,2
36,Imbalanced forces penalty,-5
37,Have an Army,2
